"LEVEES
DE FONDS",DATE,"LIEN VERS
ANNUAIRE","LIEN VERS SITE
INTERNET"
"ANATOLE lève 1,2 million d’euros auprès de CALLIODE",01/12/2011,ANATOLE,ANATOLE
"AUGURE lève 5,8 millions d’euros auprès d’investisseurs",01/12/2011,AUGURE,AUGURE
BALUMPA lève 200 000 euros auprès de OSEO,01/12/2011,BALUMPA,BALUMPA
"EFFICITY lève 2 millions d’euros auprès de SEVENTURE, CM CIC",01/12/2011,EFFICITY,EFFICITY
"ENVIE DE FRAISES lève 1,4 million d’euros auprès de AMUNDI PRIVATE EQUITY",01/12/2011,ENVIE DE FRAISES,ENVIE DE FRAISES
"HEYCROWD lève 150 000 euros auprès de BUSINESS ANGELS, KIMA VENTURES",01/12/2011,HEYCROWD,HEYCROWD
MAILJET lève 180 000 euros auprès de EFOUNDERS,01/12/2011,MAILJET,MAILJET
"OOGARDEN lève 2,1 millions d’euros auprès d’investisseurs",01/12/2011,OOGARDEN,OOGARDEN
SANTIANE lève 5 millions d’euros auprès de BNP PARIBAS,01/12/2011,SANTIANE,SANTIANE
"SHOPMIUM lève 1,6 million d’euros auprès de ACCEL, ISAI",01/12/2011,SHOPMIUM,SHOPMIUM
VIS MA VILLE lève 500 000 euros auprès de GENERIS CAPITAL,01/12/2011,VIS MA VILLE,VIS MA VILLE
WIKTIK lève 420 000 euros auprès de PACA INVESTISSEMENT,01/12/2011,WIKTIK,WIKTIK
ON AIR lève 200 000 euros auprès de PARIS BUSINESS ANGELS,01/11/2011,ON AIR,ON AIR
"ADFONIC lève 5,2 millions d’euros auprès d’investisseurs",01/11/2011,ADFONIC,ADFONIC
1855.COM lève 5 millions d’euros auprès d’investisseurs,01/11/2011,1855.COM,1855.COM
3DDUO lève 500 000 euros auprès de FINORPA,01/11/2011,3DDUO,3DDUO
"A LITTLE MARKET lève 1,6 million d’euros auprès de BUSINESS ANGELS, XANGE",01/11/2011,A LITTLE MARKET,A LITTLE MARKET
"ARTILINKI lève 300 000 euros auprès de BUSINESS ANGELS, BEAUJOLAIS BUSINESS ANGELS",01/11/2011,ARTILINKI,ARTILINKI
BIME ANALYTICS lève des fonds auprès de THE BULB,01/11/2011,BIME ANALYTICS,BIME ANALYTICS
"BON-PRIVE lève 1 million d’euros auprès de BUSINESS ANGELS, ACTIONNAIRES HISTORIQUES",01/11/2011,BON-PRIVE,BON-PRIVE
BRANDS ON AIR lève 200 000 euros auprès de PARIS BUSINESS ANGELS,01/11/2011,BRANDS ON AIR,BRANDS ON AIR
DILITRUST lève 500 000 euros auprès d’investisseurs,01/11/2011,DILITRUST,DILITRUST
ELTEG lève 720 000 euros auprès de BUSINESS ANGELS,01/11/2011,ELTEG,ELTEG
J’AIME ATTENDRE lève 200 000 euros auprès de BUSINESS ANGELS,01/11/2011,J’AIME ATTENDRE,J’AIME ATTENDRE
"MOTWIN lève 4 millions d’euros auprès de CREDIT AGRICOLE, SEVENTURE, NAXICAP",01/11/2011,MOTWIN,MOTWIN
QUOI.INFO lève 400 000 euros auprès d’investisseurs,01/11/2011,QUOI.INFO,QUOI.INFO
TRIPATTITUDE lève 220 000 euros auprès de BUSINESS ANGELS,01/11/2011,TRIPATTITUDE,TRIPATTITUDE
YOUSEEMII lève 300 000 euros auprès de BUSINESS ANGELS,01/11/2011,YOUSEEMII,YOUSEEMII
MYWITTYGAMES lève 200 000 euros auprès de BUSINESS ANGELS,01/10/2011,MYWITTYGAMES,MYWITTYGAMES
"ALL IN WEB lève 600 000 euros auprès de ESSEC BUSINESS ANGELS, IT ANGELS, PARIS BUSINESS ANGELS",01/10/2011,ALL IN WEB,ALL IN WEB
AUTOMODEAL lève 300 000 euros auprès de BUSINESS ANGELS,01/10/2011,AUTOMODEAL,AUTOMODEAL
BANKEEZ lève 320 000 euros auprès de BUSINESS ANGELS,01/10/2011,BANKEEZ,BANKEEZ
BEDYCASA lève 500 000 euros auprès d’investisseurs,01/10/2011,BEDYCASA,BEDYCASA
CAVISSIMA lève 250 000 euros auprès de BUSINESS ANGELS,01/10/2011,CAVISSIMA,CAVISSIMA
DRIVY – VOITURELIB lève des fonds auprès de BUSINESS ANGELS,01/10/2011,DRIVY – VOITURELIB,DRIVY – VOITURELIB
FILEDANSTACHAMBRE lève 800 000 euros auprès de SOFIMAC,01/10/2011,FILEDANSTACHAMBRE,FILEDANSTACHAMBRE
FOURMISANTE lève 150 000 euros auprès de BUSINESS ANGELS,01/10/2011,FOURMISANTE,FOURMISANTE
"GRAINE DE CADEAUX lève des fonds auprès de BUSINESS ANGELS, KIMA VENTURES",01/10/2011,GRAINE DE CADEAUX,GRAINE DE CADEAUX
JOLIEBOX lève 1 million d’euros auprès de ALVEN,01/10/2011,JOLIEBOX,JOLIEBOX
"LE NEW BLACK lève 420 000 euros auprès de BUSINESS ANGELS, XMP BUSINESS ANGELS, PARIS BUSINESS ANGELS",01/10/2011,LE NEW BLACK,LE NEW BLACK
MANABEY lève 250 000 euros auprès de BUSINESS ANGELS,01/10/2011,MANABEY,MANABEY
MEILLEURES-ENTREPRISES lève 300 000 euros auprès de BUSINESS ANGELS,01/10/2011,MEILLEURES-ENTREPRISES,MEILLEURES-ENTREPRISES
MOXITY lève 150 000 euros auprès d’investisseurs,01/10/2011,MOXITY,MOXITY
POELEABOIS.COM lève 110 000 euros auprès de BUSINESS ANGELS,01/10/2011,POELEABOIS.COM,POELEABOIS.COM
"PRET D’UNION lève 4,825 millions d’euros auprès de OSEO, KIMA VENTURES",01/10/2011,PRET D’UNION,PRET D’UNION
"RESTO IN lève 1,6 million d’euros auprès de NEXTSTAGE",01/10/2011,RESTO IN,RESTO IN
"TIKI LABS lève 470 000 euros auprès de BUSINESS ANGELS, ACTIONNAIRES HISTORIQUES",01/10/2011,TIKI LABS,TIKI LABS
"VESTIAIRE DE COPINES lève 7,5 millions d’euros auprès de BALDERTON CAPITAL, VENTECH",01/10/2011,VESTIAIRE DE COPINES,
"WEXPAY lève 6,38 millions d’euros auprès d’investisseurs",01/10/2011,WEXPAY,WEXPAY
WIZEE lève 300 000 euros auprès de BUSINESS ANGELS,01/10/2011,WIZEE,WIZEE
"WIZBII lève 318 000 euros auprès de BUSINESS ANGELS, GRENOBLE ANGELS, BPIFRANCE",01/09/2011,WIZBII,WIZBII
"SYNTHESIO lève 1,8 million d’euros auprès d’investisseurs",01/09/2011,SYNTHESIO,SYNTHESIO
"BONITASOFT lève 10,35 millions d’euros auprès de FSN PME, AURIGASERENA, VENTECH",01/09/2011,BONITASOFT,BONITASOFT
ADMOOVE lève 200 000 euros auprès d’investisseurs,01/09/2011,ADMOOVE,ADMOOVE
ADVERLINE lève 2 millions d’euros auprès de OTC ASSET MANAGEMENT,01/09/2011,ADVERLINE,ADVERLINE
ARAN PROD lève 2 millions d’euros auprès de SEVENTURE,01/09/2011,ARAN PROD,
"AS4SCREEN lève 4,5 millions d’euros auprès de BUSINESS ANGELS",01/09/2011,AS4SCREEN,
"CAMPING-AND-CO.COM lève 1,6 million d’euros auprès d’investisseurs",01/09/2011,CAMPING-AND-CO.COM,CAMPING-AND-CO.COM
"DASHLANE lève 3,8 millions d’euros auprès d’investisseurs",01/09/2011,DASHLANE,DASHLANE
DEVISPROX lève 2 millions d’euros auprès de CM CIC,01/09/2011,DEVISPROX,DEVISPROX
FREETOUCH lève 1 million d’euros auprès d’investisseurs,01/09/2011,FREETOUCH,FREETOUCH
GOSIS lève 500 000 euros auprès d’investisseurs,01/09/2011,GOSIS,GOSIS
KEYADE lève des fonds auprès de JAINA,01/09/2011,KEYADE,KEYADE
KRDS lève des fonds auprès de AXA PRIVATE EQUITY,01/09/2011,KRDS,KRDS
"L’USINE A DESIGN lève 4 millions d’euros auprès de CREDIT AGRICOLE, CM CIC",01/09/2011,L’USINE A DESIGN,L’USINE A DESIGN
"NEWSRING lève 3,5 millions d’euros auprès de XANGE, VENTECH, IDINVEST",01/09/2011,NEWSRING,NEWSRING
"PHARNEXT lève 2,5 millions d’euros auprès d’investisseurs",01/09/2011,PHARNEXT,PHARNEXT
PRESTASHOP lève 3 millions d’euros auprès de SERENA,01/09/2011,PRESTASHOP,PRESTASHOP
"SCAN & TARGET lève 1,5 million d’euros auprès de TRUFFLE",01/09/2011,SCAN & TARGET,SCAN & TARGET
"SNOWITE lève 1,1 million d’euros auprès de SIGMA",01/09/2011,SNOWITE,SNOWITE
"SOFACTORY lève des fonds auprès de BUSINESS ANGELS, SEVENTURE",01/09/2011,SOFACTORY,SOFACTORY
"STICKYADS.TV lève 1,2 million d’euros auprès de ISAI",01/09/2011,STICKYADS.TV,STICKYADS.TV
VENTES RESPONSABLES lève 250 000 euros auprès de GENERIS CAPITALSIGMA,01/09/2011,VENTES RESPONSABLES,VENTES RESPONSABLES
VIDEDRESSING lève 700 000 euros auprès de BUSINESS ANGELS,01/09/2011,VIDEDRESSING,VIDEDRESSING
123PRESTA lève 300 000 euros auprès de BUSINESS ANGELS,aout 2011,123PRESTA,123PRESTA
ADLOOX lève 265 000 euros auprès de BUSINESS ANGELS,aout 2011,ADLOOX,ADLOOX
"BALINEA lève 1,5 million d’euros auprès d’investisseurs",aout 2011,BALINEA,BALINEA
EDJING lève des fonds auprès de BUSINESS ANGELS,aout 2011,EDJING,EDJING
REVISERSAVOITURE lève 800 000 euros auprès d’investisseurs,aout 2011,REVISERSAVOITURE,
"TEADS – WIKIO lève 17,3 millions d’euros auprès de BUSINESS ANGELS",aout 2011,TEADS – WIKIO,TEADS – WIKIO
"WEEKENDESK lève 1,7 million d’euros auprès d’investisseurs",aout 2011,WEEKENDESK,WEEKENDESK
PATHOQUEST lève 2 millions d’euros auprès de KURMA LIFE SCIENCE PARTNERS,01/07/2011,PATHOQUEST,PATHOQUEST
"ATTRACTIVE WORLD lève 2,7 millions d’euros auprès d’investisseurs",01/07/2011,ATTRACTIVE WORLD,ATTRACTIVE WORLD
BRAND MINISTRY lève 350 000 euros auprès d’investisseurs,01/07/2011,BRAND MINISTRY,BRAND MINISTRY
CHACUNSONCAFE lève 900 000 euros auprès de CROWDFUNDING,01/07/2011,CHACUNSONCAFE,CHACUNSONCAFE
"EXPONAUTE lève 560 000 euros auprès de BUSINESS ANGELS, FA DIESE",01/07/2011,EXPONAUTE,EXPONAUTE
"LENGOW lève 1,2 million d’euros auprès de ALVEN",01/07/2011,LENGOW,LENGOW
"LOOKINGO lève 2,4 millions d’euros auprès de NAXICAP",01/07/2011,LOOKINGO,LOOKINGO
MINUTEBUZZ lève 300 000 euros auprès de BUSINESS ANGELS,01/07/2011,MINUTEBUZZ,MINUTEBUZZ
PAYSANS.FR lève 100 000 euros auprès de CROWDFUNDING,01/07/2011,PAYSANS.FR,PAYSANS.FR
"UP & NET lève 3 millions d’euros auprès de CAPDECISIF MANAGEMENT, CM CIC",01/07/2011,UP & NET,UP & NET
"LEADMEDIA GROUP lève 12,5 millions d’euros auprès de TRUFFLE",01/06/2011,LEADMEDIA GROUP,LEADMEDIA GROUP
LILY LISTE lève des fonds auprès d’investisseurs,01/06/2011,LILY LISTE,LILY LISTE
"LIMONETIK lève 5,1 millions d’euros auprès de BUSINESS ANGELS, ORKOS, NEWFUND",01/06/2011,LIMONETIK,LIMONETIK
ACHETER-LOUER.FR lève 940 000 euros auprès d’investisseurs,01/06/2011,ACHETER-LOUER.FR,ACHETER-LOUER.FR
ADYOULIKE lève des fonds auprès de KIMA VENTURES,01/06/2011,ADYOULIKE,ADYOULIKE
"ANTIDOT lève 3,15 millions d’euros auprès d’investisseurs",01/06/2011,ANTIDOT,ANTIDOT
"ANTVOICE lève 750 000 euros auprès de NESTADIO, ALVEN",01/06/2011,ANTVOICE,ANTVOICE
"APPSFIRE lève 2,5 millions d’euros auprès d’investisseurs",01/06/2011,APPSFIRE,APPSFIRE
CALLRESTO lève 100 000 euros auprès de BUSINESS ANGELS,01/06/2011,CALLRESTO,CALLRESTO
CLOUDY lève 25 000 euros auprès d’investisseurs,01/06/2011,CLOUDY,CLOUDY
COEUR DE CHEF lève 400 000 euros auprès d’investisseurs,01/06/2011,COEUR DE CHEF,
CORTUS lève des fonds auprès d’investisseurs,01/06/2011,CORTUS,CORTUS
CYTOO lève 9 millions d’euros auprès d’investisseurs,01/06/2011,CYTOO,CYTOO
DREAMZER GAMES lève 110 000 euros auprès de BUSINESS ANGELS,01/06/2011,DREAMZER GAMES,DREAMZER GAMES
EDUPAD lève 200 000 euros auprès d’investisseurs,01/06/2011,EDUPAD,EDUPAD
"ENTROPYSOFT lève 3,15 millions d’euros auprès d’investisseurs",01/06/2011,ENTROPYSOFT,ENTROPYSOFT
"EVIAGENICS lève 1,17 million d’euros auprès d’investisseurs",01/06/2011,EVIAGENICS,EVIAGENICS
"EZAKUS lève 2,2 millions d’euros auprès de IDINVEST",01/06/2011,EZAKUS,EZAKUS
FAVEOUS lève 153 000 euros auprès d’investisseurs,01/06/2011,FAVEOUS,FAVEOUS
FLIRTATIOUS LABS lève 25 000 euros auprès d’investisseurs,01/06/2011,FLIRTATIOUS LABS,
FOOD REPORTER lève 54 000 euros auprès de PROXIMA MOBILE,01/06/2011,FOOD REPORTER,FOOD REPORTER
FRENCHWEB – ADSVARK lève 525 000 euros auprès d’investisseurs,01/06/2011,FRENCHWEB – ADSVARK,FRENCHWEB – ADSVARK
HAPPYVIEW lève 3 millions d’euros auprès d’investisseurs,01/06/2011,HAPPYVIEW,HAPPYVIEW
HYPIOS lève 225 000 euros auprès d’investisseurs,01/06/2011,HYPIOS,HYPIOS
"I-DISPO lève des fonds auprès de BUSINESS ANGELS, KIMA VENTURES",01/06/2011,I-DISPO,I-DISPO
INGENIC lève 90 000 euros auprès de BUSINESS ANGELS,01/06/2011,INGENIC,INGENIC
ISOGRAD lève 585 000 euros auprès d’investisseurs,01/06/2011,ISOGRAD,ISOGRAD
JIMMY FAIRLY lève des fonds auprès de BUSINESS ANGELS,01/06/2011,JIMMY FAIRLY,JIMMY FAIRLY
JOSHFIRE lève 100 000 euros auprès de FABERNOVEL,01/06/2011,JOSHFIRE,JOSHFIRE
JUST AROUND US lève 189 000 euros auprès d’investisseurs,01/06/2011,JUST AROUND US,JUST AROUND US
KIPCALL lève 360 000 euros auprès d’investisseurs,01/06/2011,KIPCALL,KIPCALL
LA BOURSE DU TEXTILE lève 400 000 euros auprès de BUSINESS ANGELS,01/06/2011,LA BOURSE DU TEXTILE,
"LAFOURCHETTE lève 3,3 millions d’euros auprès d’investisseurs",01/06/2011,LAFOURCHETTE,LAFOURCHETTE
LOXAM lève 60 millions d’euros auprès de 3I,01/06/2011,LOXAM,LOXAM
"MELIJOE lève 3,5 millions d’euros auprès de CM CIC",01/06/2011,MELIJOE,MELIJOE
"MESEO lève 11,5 millions d’euros auprès de SAVOIE ANGELS, ENTREPRENEUR VENTURE, SIPAREX",01/06/2011,MESEO,MESEO
"MILIBRIS lève 1,5 million d’euros auprès de CAPHORN INVEST",01/06/2011,MILIBRIS,MILIBRIS
"MIXCOMMERCE lève 6,5 millions d’euros auprès de XANGE, INNOVACOM",01/06/2011,MIXCOMMERCE,MIXCOMMERCE
MONNIER FRERES lève 2 millions d’euros auprès de BUSINESS ANGELS,01/06/2011,MONNIER FRERES,MONNIER FRERES
NETCONSTAT lève 100 000 euros auprès d’investisseurs,01/06/2011,NETCONSTAT,NETCONSTAT
NEXT PERFORMANCE lève 16 millions d’euros auprès de KENNET PARTNERS,01/06/2011,NEXT PERFORMANCE,NEXT PERFORMANCE
OBVIOUSIDEA lève 500 000 euros auprès d’investisseurs,01/06/2011,OBVIOUSIDEA,OBVIOUSIDEA
OPENSEARCHSERVER – JAEKSOFT lève 270 000 euros auprès d’investisseurs,01/06/2011,OPENSEARCHSERVER – JAEKSOFT,OPENSEARCHSERVER – JAEKSOFT
OPINEWS lève 116 100 euros auprès d’investisseurs,01/06/2011,OPINEWS,OPINEWS
PLIZY lève 1 million d’euros auprès d’investisseurs,01/06/2011,PLIZY,PLIZY
PLUGAROUND lève 83 700 euros auprès d’investisseurs,01/06/2011,PLUGAROUND,PLUGAROUND
PRIMAVISTA lève des fonds auprès de ACTIVA CAPITAL,01/06/2011,PRIMAVISTA,PRIMAVISTA
PRIXING lève 480 600 euros auprès d’investisseurs,01/06/2011,PRIXING,PRIXING
PYROLIA lève 506 700 euros auprès d’investisseurs,01/06/2011,PYROLIA,PYROLIA
"QAPA lève 1,7 million d’euros auprès de BUSINESS ANGELS, 360 CAPITAL, PARTECH",01/06/2011,QAPA,QAPA
"QOSMOS lève 25,65 millions d’euros auprès d’investisseurs",01/06/2011,QOSMOS,QOSMOS
QUANTHOUSE lève des fonds auprès de VIEWPOINT CAPITAL PARTNERS,01/06/2011,QUANTHOUSE,QUANTHOUSE
RUE89 lève 600 000 euros auprès de BUSINESS ANGELS,01/06/2011,RUE89,RUE89
"SANTEVET lève 8,7 millions d’euros auprès d’investisseurs",01/06/2011,SANTEVET,SANTEVET
SHARYPIC lève 243 000 euros auprès de HACKFWD,01/06/2011,SHARYPIC,SHARYPIC
SHOETTE lève 50 000 euros auprès d’investisseurs,01/06/2011,SHOETTE,SHOETTE
SKOPEO lève 200 000 euros auprès d’investisseurs,01/06/2011,SKOPEO,SKOPEO
TAODYNE lève 133 000 euros auprès de BUSINESS ANGELS,01/06/2011,TAODYNE,TAODYNE
TEKORA lève 610 000 euros auprès de SOLOMOCO,01/06/2011,TEKORA,TEKORA
THE FOOTBALL SOCIAL CLUB lève 270 000 euros auprès d’investisseurs,01/06/2011,THE FOOTBALL SOCIAL CLUB,THE FOOTBALL SOCIAL CLUB
"THEMA lève 7,38 millions d’euros auprès de TIME EQUITY PARTNERS",01/06/2011,THEMA,THEMA
TICKETSURF lève des fonds auprès d’investisseurs,01/06/2011,TICKETSURF,TICKETSURF
"TOTAL IMMERSION lève 4,95 millions d’euros auprès de INTEL CAPITAL",01/06/2011,TOTAL IMMERSION,TOTAL IMMERSION
TRAVELLUTION lève 122 400 euros auprès d’investisseurs,01/06/2011,TRAVELLUTION,TRAVELLUTION
TRIOVIZ lève 900 000 euros auprès d’investisseurs,01/06/2011,TRIOVIZ,TRIOVIZ
"TVTY lève 1,5 million d’euros auprès d’investisseurs",01/06/2011,TVTY,TVTY
"VIAVOO lève 1,5 million d’euros auprès de CREDIT AGRICOLE",01/06/2011,VIAVOO,VIAVOO
"VIRTUOZ lève 4,8 millions d’euros auprès d’investisseurs",01/06/2011,VIRTUOZ,VIRTUOZ
VOULEZVOUSDINER lève des fonds auprès d’investisseurs,01/06/2011,VOULEZVOUSDINER,VOULEZVOUSDINER
WEDIA lève 2 millions d’euros auprès de NEXTSTAGE,01/06/2011,WEDIA,WEDIA
YAKAROULER lève 3 millions d’euros auprès de SERENA,01/06/2011,YAKAROULER,YAKAROULER
YASOUND lève 100 000 euros auprès d’investisseurs,01/06/2011,YASOUND,YASOUND
YOONEED lève 450 000 euros auprès d’investisseurs,01/06/2011,YOONEED,YOONEED
YOOPIES lève 170 000 euros auprès de BUSINESS ANGELS,01/06/2011,YOOPIES,YOOPIES
YOUMAG lève 900 000 euros auprès de AIRTEK CAPITAL GROUP,01/06/2011,YOUMAG,YOUMAG
ZENPRISE lève 27 millions d’euros auprès de MAYFIELD FUND,01/06/2011,ZENPRISE,ZENPRISE
"3999.COM lève 2,5 millions d’euros auprès de IDINVEST",01/05/2011,3999.COM,3999.COM
"ADAMENCE lève 2,4 millions d’euros auprès de BUSINESS ANGELS, AURINVEST",01/05/2011,ADAMENCE,ADAMENCE
"DEOLAN lève 150 000 euros auprès de BUSINESS ANGELS, PARIS ANGELS CAPITAL",01/05/2011,DEOLAN,DEOLAN
"EDILIVRE lève 1,1 million d’euros auprès d’investisseurs",01/05/2011,EDILIVRE,EDILIVRE
"FINANCE TES ETUDES lève des fonds auprès de BUSINESS ANGELS, KIMA VENTURES",01/05/2011,FINANCE TES ETUDES,FINANCE TES ETUDES
HOTMIX lève des fonds auprès d’investisseurs,01/05/2011,HOTMIX,
"L4 EPSILON lève 3,4 millions d’euros auprès de SEVENTURE, OTC ASSET MANAGEMENT",01/05/2011,L4 EPSILON,L4 EPSILON
"LEKIOSK – LEKIOSQUE lève 1,2 million d’euros auprès de CDC, CM CIC",01/05/2011,LEKIOSK – LEKIOSQUE,LEKIOSK – LEKIOSQUE
"LIBERMUNDI lève 11,5 millions d’euros auprès de BUSINESS ANGELS, ENTREPRENEUR VENTURE",01/05/2011,LIBERMUNDI,
MARCO VASCO lève 1 million d’euros auprès de ALVEN,01/05/2011,MARCO VASCO,MARCO VASCO
"PRETTY SIMPLE GAMES lève 2,5 millions d’euros auprès de IDINVEST",01/05/2011,PRETTY SIMPLE GAMES,PRETTY SIMPLE GAMES
"TOUTABO lève 2 millions d’euros auprès de ENTREPRENEUR VENTURE, TURENNE CAPITAL",01/05/2011,TOUTABO,TOUTABO
YELLOWBRCK lève 150 000 euros auprès de KIMA VENTURES,01/05/2011,YELLOWBRCK,YELLOWBRCK
KISSKISSBANKBANK lève 2 millions d’euros auprès de INNOVACOM,01/04/2011,KISSKISSBANKBANK,KISSKISSBANKBANK
"KOBOJO lève 5,3 millions d’euros auprès de IDINVEST",01/04/2011,KOBOJO,KOBOJO
MAKEMEREACH lève 3 millions d’euros auprès de SIPAREXALVEN,01/04/2011,MAKEMEREACH,MAKEMEREACH
"MEDIASTAY lève 15 millions d’euros auprès de IRIS CAPITAL, IDINVEST",01/04/2011,MEDIASTAY,MEDIASTAY
"NETBOOSTER lève 2,3 millions d’euros auprès de IDINVEST",01/04/2011,NETBOOSTER,NETBOOSTER
"SENSEE lève 7,5 millions d’euros auprès de JAINA",01/04/2011,SENSEE,SENSEE
"TIGERLILY lève 900 000 euros auprès de SEED4SOFT, SEVENTURE",01/04/2011,TIGERLILY,TIGERLILY
24H00 – BOOSKET lève 180 000 euros auprès de BUSINESS ANGELS,01/03/2011,24H00 – BOOSKET,24H00 – BOOSKET
ALLIEDHEALTH lève 150 000 euros auprès d’investisseurs,01/03/2011,ALLIEDHEALTH,
"CARRE DE BOEUF lève 750 000 euros auprès de BUSINESS ANGELS, PARIS BUSINESS ANGELS",01/03/2011,CARRE DE BOEUF,CARRE DE BOEUF
"DARQROOM lève 2,5 millions d’euros auprès de AMUNDI PRIVATE EQUITY, I-SOURCE",01/03/2011,DARQROOM,DARQROOM
"ENERTIME lève 1,8 million d’euros auprès de CALAO FINANCE, SIPAREX",01/03/2011,ENERTIME,ENERTIME
IVIDENCE lève 3 millions d’euros auprès de A PLUS FINANCE,01/03/2011,IVIDENCE,IVIDENCE
"MOBPARTNER lève 2,5 millions d’euros auprès de NEWFUND, ALVEN",01/03/2011,MOBPARTNER,MOBPARTNER
NOWFASHION lève des fonds auprès de BUSINESS ANGELS,01/03/2011,NOWFASHION,NOWFASHION
PLYCE lève 600 000 euros auprès de BPIFRANCE,01/03/2011,PLYCE,PLYCE
QUELLEENERGIE lève 1 million d’euros auprès de ALVEN,01/03/2011,QUELLEENERGIE,QUELLEENERGIE
THE OTHER STORE lève des fonds auprès d’investisseurs,01/03/2011,THE OTHER STORE,THE OTHER STORE
"UTEL lève 2,8 millions d’euros auprès de TRUFFLE",01/03/2011,UTEL,UTEL
WALLDRESS lève 120 000 euros auprès de BUSINESS ANGELS,01/03/2011,WALLDRESS,WALLDRESS
WIKANGO lève 2 millions d’euros auprès de ODYSSEE,01/03/2011,WIKANGO,
"ADENTS lève 1,1 million d’euros auprès d’investisseurs",01/02/2011,ADENTS,ADENTS
AF83 lève 800 000 euros auprès de PARIS BUSINESS ANGELS,01/02/2011,AF83,AF83
ADMINIUM lève 710 000 euros auprès d’investisseurs,01/02/2011,ADMINIUM,ADMINIUM
"ATIPIX lève 1,8 million d’euros auprès d’investisseurs",01/02/2011,ATIPIX,ATIPIX
"COACHCLUB lève 5 millions d’euros auprès de INNOVACOM, SERENA",01/02/2011,COACHCLUB,COACHCLUB
EVANEOS lève 715 000 euros auprès de ISAI,01/02/2011,EVANEOS,EVANEOS
"GIROMEDICAL lève 1,2 million d’euros auprès de AUDACIA",01/02/2011,GIROMEDICAL,GIROMEDICAL
LUXVIEW lève 3 millions d’euros auprès de ALVEN,01/02/2011,LUXVIEW,
MADMAGZ.COM lève 240 000 euros auprès d’investisseurs,01/02/2011,MADMAGZ.COM,MADMAGZ.COM
MONBENTO lève des fonds auprès de NEWFUND,01/02/2011,MONBENTO,MONBENTO
STORIFIC lève 200 000 euros auprès de KIMA VENTURES,01/02/2011,STORIFIC,STORIFIC
VISION 360 DEGRES – V3D lève 1 million d’euros auprès d’investisseurs,01/02/2011,VISION 360 DEGRES – V3D,VISION 360 DEGRES – V3D
"NETEVEN lève 1,2 million d’euros auprès de BUSINESS ANGELS",01/01/2011,NETEVEN,NETEVEN
"TALENTSOFT lève 3 millions d’euros auprès de ALTO INVEST, SEVENTURE",01/01/2011,TALENTSOFT,TALENTSOFT
"BON-PRIVE lève 1,5 million d’euros auprès de BUSINESS ANGELS",01/01/2011,BON-PRIVE,BON-PRIVE
CLEOR lève 3 millions d’euros auprès d’investisseurs,01/01/2011,CLEOR,
GREENWEEZ lève 2 millions d’euros auprès de A PLUS FINANCE,01/01/2011,GREENWEEZ,GREENWEEZ
"IMPETO MEDICAL lève 6,12 millions d’euros auprès d’investisseurs",01/01/2011,IMPETO MEDICAL,
"MILIBOO lève 2,5 millions d’euros auprès de AURIGA",01/01/2011,MILIBOO,MILIBOO
NATILOO lève 2 millions d’euros auprès de CM CIC,01/01/2011,NATILOO,
COMMERCE GUYS lève des fonds auprès de ISAI,01/12/2010,COMMERCE GUYS,COMMERCE GUYS
"SUPERSONIC IMAGINE lève 34,5 millions d’euros auprès d’investisseurs",01/11/2010,SUPERSONIC IMAGINE,SUPERSONIC IMAGINE
1855.COM lève 7 millions d’euros auprès de MIDI CAPITAL,01/11/2010,1855.COM,1855.COM
BRAND ONLINE COMMERCE lève 600 000 euros auprès de BNP PARIBAS,01/11/2010,BRAND ONLINE COMMERCE,BRAND ONLINE COMMERCE
CROQUETTELAND lève 1 million d’euros auprès de CREDIT AGRICOLE,01/11/2010,CROQUETTELAND,CROQUETTELAND
"LEETCHI lève 1,2 million d’euros auprès de IDINVEST",01/11/2010,LEETCHI,LEETCHI
MAIL INSIDE lève 800 000 euros auprès de XANGE,01/11/2010,MAIL INSIDE,MAIL INSIDE
MISTER-AUTO lève 6 millions d’euros auprès de CM CIC,01/11/2010,MISTER-AUTO,MISTER-AUTO
"SMARTDATE lève 3,5 millions d’euros auprès de BUSINESS ANGELS",01/11/2010,SMARTDATE,SMARTDATE
TOURISM INVEST lève 800 000 euros auprès d’investisseurs,01/11/2010,TOURISM INVEST,
"WEB PRINTING INTERNATIONAL lève 1,8 million d’euros auprès d’investisseurs",01/11/2010,WEB PRINTING INTERNATIONAL,
"BEEZIK lève 2,5 millions d’euros auprès d’investisseurs",01/10/2010,BEEZIK,
CARWEGO lève 150 000 euros auprès de KIMA VENTURES,01/10/2010,CARWEGO,CARWEGO
COMMENTCAMARCHE lève 27 millions d’euros auprès de IDINVEST,01/10/2010,COMMENTCAMARCHE,
IMUSIC SCHOOL lève 800 000 euros auprès de SEVENTURE,01/10/2010,IMUSIC SCHOOL,IMUSIC SCHOOL
"INSITEO lève 3,5 millions d’euros auprès de INNOVACOM",01/10/2010,INSITEO,INSITEO
KELDEAL lève 200 000 euros auprès d’investisseurs,01/10/2010,KELDEAL,KELDEAL
PRET D’UNION lève des fonds auprès d’investisseurs,01/10/2010,PRET D’UNION,PRET D’UNION
"RESTOPOLITAN lève 1 million d’euros auprès de BUSINESS ANGELS, JAINA, KIMA VENTURES",01/10/2010,RESTOPOLITAN,RESTOPOLITAN
